ОКПО;ИНН;Грузоотправитель;Холдинг грузоотправителя
79756327;7810050965;ТК ПАРТНЕР, ООО;Прочие
62358077;4253044920;ТК ПОТОК, ООО;Прочие
30588278;7804470136;ТК ПРОМРЕСУРС, ООО;Прочие
30454187;2463231513;ТК ПРОСТОРЫ СИБИРИ, ООО;Прочие
20075230;2465173338;ТК РЕГИОНЫ, ООО;Прочие
38779983;5408293440;ТК РЕЙЛ КОНТИНЕНТ СИБИРЬ, ООО;Прочие
44012955;7802706234;ТК РИГЕЗА, ООО;Прочие
30048044;3804047396;ТК РОДНИК, ООО;Прочие
56254178;5473010526;ТК РСК, ООО;Прочие
14480662;2543012933;ТК РУСЬ, ООО;Прочие
24034245;5834110659;ТК РЭЙЛПОВОЛЖЬЕ, ООО;Прочие
26176682;8902015225;ТК СГС, ООО;Прочие
82199994;7840371282;ТК СЕРВИС, ООО;Прочие
64800169;5504215893;ТК СИБИРЬ, ООО;Прочие
92154685;6161061510;ТК СЛАВЯНЕ, ООО;Прочие
56577639;2543162713;ТК СОЮЗ, ООО;Прочие
21944337;2464258211;ТК СРТ, ООО;Прочие
23277744;5504152234;ТК СТС, ООО;Прочие
39866690;2543080429;ТК ТЕРМИНАЛ, ООО;Прочие
35149974;6685096615;ТК ТЕТРА ТРАНС, ООО;Прочие
90514837;7743808827;ТК ТИМСИ, ООО;Прочие
42999584;2721245480;ТК ТИТАН, ООО;Прочие
1343831;7725311366;ТК ТИХОРЕЦКАЯ, ООО;Прочие
12232833;7327082484;ТК ТРАНСКАПИТАЛ, ООО;Прочие
42165749;7017467290;ТК ТРАФИК, ООО;Прочие
28091501;1901137637;ТК УГОЛЬ, ООО;Прочие
53397500;2308284327;ТК ЭКСПРЕСС, ООО;Прочие
72276587;4217063740;ТК ЭНЕРГО, АО;Прочие
96309009;5047077738;ТК ЯКУТСКИЙ ТРАНЗИТ, ООО;Прочие
30955073;2721192285;ТК-ПАРТНЁР, ООО;Прочие
45520501;6320053130;ТКПП, ООО;Прочие
20543694;7327072366;ТКС, ООО;Прочие
50043718;1900010370;ТКХ, ООО;Прочие
41638051;7734429815;ТЛК БЭСТ ВЭЙ, ООО;Прочие
74454805;7708538014;ТЛК ВЛ ЛОДЖИСТИК, ООО;Прочие
36754447;2508121721;ТЛК ВОСТОК ЛОГИСТИК, ООО;Прочие
35153024;6658452198;ТЛК КЕДР, ООО;Прочие
96424745;2543173296;ТЛК МЕГАТРАНС, ООО;Прочие
47320769;6324117803;ТЛК МОДУЛЬ, ООО;"ПАО ""Куйбышевазот"""
60104906;2536328005;ТЛК МОРЕ, ООО;Прочие
33614881;2540217523;ТЛК ПРАЙМ, ООО;Прочие
15940507;6678083534;ТЛК РБТ, ООО;Прочие
