Код;Наименование;Код группы груза
81031;БАЛАНСЫ ВСЯКИХ ПОРОД ДЕРЕВА ДЛИНОЙ СВЫШЕ 1,5 М, КРОМЕ ХВОЙНЫХ
81046;БАЛАНСЫ ХВОЙНЫХ ПОРОД ДЕРЕВА
81050;ДРЕВЕСИНА ЭКСТРАКТОВАЯ
81065;ЕЛЬ РЕЗОНАНСОВАЯ КРУГЛАЯ
81079;ЖЕРДИ И КОЛЬЯ
81084;КРЯЖ ВСЯКИХ ПОРОД ДЕРЕВА
81099;ЛЕСОМАТЕРИАЛЫ ВСЯКИХ ПОРОД ДЛИНОЙ ДО 2 М ВКЛЮЧИТЕЛЬНО
81101;ЛЕСОМАТЕРИАЛЫ ВСЯКИХ ПОРОД ДЛИНОЙ СВЫШЕ 2 М
81116;ЛЕСОМАТЕРИАЛЫ ГИДРОТЕХНИЧЕСКИЕ
81120;ЛЕСОМАТЕРИАЛЫ ДЛЯ ПРОИЗВОДСТВА СПИЧЕК (КРЯЖ СПИЧЕЧНЫЙ)
81135;ЛЕСОМАТЕРИАЛЫ КРУГЛЫЕ, КРОМЕ КРЕПЕЖНЫХ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
81145;ЛЕСОМАТЕРИАЛЫ СТРОИТЕЛЬНЫЕ
81154;ЛЕСОМАТЕРИАЛЫ СУДОСТРОИТЕЛЬНЫЕ
81169;ЛЕСОМАТЕРИАЛЫ ТАРНЫЕ (КРЯЖ ТАРНЫЙ)
81173;ЛЕСОМАТЕРИАЛЫ ФАНЕРНЫЕ (КРЯЖ ФАНЕРНЫЙ)
81188;ПИЛОВОЧНИК ВСЯКИХ ПОРОД ДЕРЕВА
81192;ПОДПОРКИ ДЕРЕВЯННЫЕ (САДОВЫЕ, ВИНОГРАДНЫЕ)
81205;СТОЛБЫ ДЕРЕВЯННЫЕ
82000;ЛЕСОМАТЕРИАЛЫ КРЕПЕЖНЫЕ
82015;ДОЛГОТЬЕ РУДНИЧНОЕ
82021;ПРОПСЫ (СТОЙКИ РУДНИЧНЫЕ)
90007;ПРОДУКЦИЯ ЛЕСОПИЛЬНОГО И ФАНЕРНОГО ПРОИЗВОДСТВА
91008;ПИЛОМАТЕРИАЛЫ
91014;БАЛКИ ДЕРЕВЯННЫЕ
91029;ГОРБЫЛЬ
91033;ЕЛЬ РЕЗОНАНСОВАЯ ПИЛЕНАЯ
91048;ЗАГОТОВКИ ДЕРЕВЯННЫЕ ДЛЯ КАРАНДАШЕЙ
91052;ЗАГОТОВКИ ДЕРЕВЯННЫЕ ДЛЯ ОБРУЧЕЙ
91067;ЗАГОТОВКИ ДЕРЕВЯННЫЕ ЧЕРНОВЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
91071;ЗАГОТОВКИ ДЛЯ ЛОЖ СПОРТИВНО-ОХОТНИЧЬЕГО ОРУЖИЯ
91086;КЛЕПКА ДЕРЕВЯННАЯ
91090;ОБАПОЛ
91103;ПИЛОМАТЕРИАЛЫ ДЛЯ ОБОРУДОВАНИЯ ГРУЗОВЫХ ВАГОНОВ ПОД ЛЮДСКИЕ ПЕРЕВОЗКИ
91118;ПИЛОМАТЕРИАЛЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
91122;СТОЙКИ ВАГОННЫЕ ДЕРЕВЯННЫЕ
91137;ТРАВЕРСЫ
91141;ШТАКЕТНИК
91156;ДОЩЕЧКИ ЯЩИЧНЫЕ (ДЕТАЛИ ТАРЫ ДЕРЕВЯННОЙ) ПРОДУКЦИЯ ШПАЛОПИЛЕНИЯ (БЕЗ ПРОПИТКИ)
92002;
92017;БРУСЬЯ ДЛЯ СТРЕЛОЧНЫХ ПЕРЕВОДОВ НЕПРОПИТАННЫЕ
92021;БРУСЬЯ МОСТОВЫЕ ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ НЕПРОПИТАННЫЕ
92036;ВЫРЕЗКА ШПАЛЬНАЯ
92040;ШПАЛЫ ДЕРЕВЯННЫЕ НЕПРОПИТАННЫЕ НОВЫЕ
92055;ШПАЛЫ ДЕРЕВЯННЫЕ НЕПРОПИТАННЫЕ СТАРЫЕ
93005;ПРОДУКЦИЯ ШПАЛОПИЛЕНИЯ (С ПРОПИТКОЙ)
93013;БРУСЬЯ ДЛЯ СТРЕЛОЧНЫХ ПЕРЕВОДОВ ПРОПИТАННЫЕ
93024;БРУСЬЯ МОСТОВЫЕ ДЛЯ ЖЕЛЕЗНЫХ ДОРОГ ПРОПИТАННЫЕ
93039;ШПАЛЫ ДЕРЕВЯННЫЕ ПРОПИТАННЫЕ НОВЫЕ
93043;ШПАЛЫ ДЕРЕВЯННЫЕ ПРОПИТАННЫЕ СТАРЫЕ
94008;ФАНЕРА И ШПОН
94012;ПЛАСТИКИ ДРЕВЕСНЫЕ СЛОИСТЫЕ
94027;ПЛИТЫ ФАНЕРНЫЕ
94031;ТРУБЫ И МУФТЫ ФАНЕРНЫЕ
94046;ФАНЕРА БАКЕЛИЗИРОВАННАЯ
94050;ФАНЕРА ДЕКОРАТИВНАЯ
94065;ФАНЕРА ДЛЯ МУЗЫКАЛЬНЫХ КЛАВИШНЫХ ИНСТРУМЕНТОВ
94076;ФАНЕРА КЛЕЕНАЯ
94084;ФАНЕРА, ОБЛИЦОВАННАЯ СТРОГАНЫМ ШПОНОМ
94099;ФАНЕРА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
94101;ШПОН ЛУЩЕНЫЙ И СТРОГАНЫЙ
100001;ДРОВА, ДРЕВЕСИНА ТОПЛИВНАЯ ДЛЯ ТЕХНОЛОГИЧЕСКИХ НУЖД, ДРЕВЕСИНА ИЗМЕЛЬЧЕННАЯ
101004;ДРОВА
101019;ДРОВА ДОЛГОТЬЕ
101023;ДРОВА ИЗ ВСЯКИХ ПОРОД ДЕРЕВА, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
101042;ХВОРОСТ
102007;ДРЕВЕСИНА ТОПЛИВНАЯ ДЛЯ ТЕХНОЛОГИЧЕСКИХ НУЖД
102011;ДРЕВЕСИНА ТОПЛИВНАЯ ДЛЯ ГИДРОЛИЗНОГО ПРОИЗВОДСТВА
102026;ДРЕВЕСИНА ТОПЛИВНАЯ ДЛЯ ТЕХНОЛОГИЧЕСКИХ НУЖД, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
103007;ДРЕВЕСИНА ИЗМЕЛЬЧЕННАЯ
103014;МУКА ДРЕВЕСНАЯ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
103029;МУКА КНОПЕРСОВАЯ
103033;МУКА ХВОЙНО-ВИТАМИННАЯ
103048;ОПИЛКИ ДРЕВЕСНЫЕ
103052;ПРЕСС-ПОРОШОК ДРЕВЕСНЫЙ
103067;СТРУЖКИ ДРЕВЕСНЫЕ ВСЯКИЕ
103071;ЩЕПА, КРОМЕ КРОВЕЛЬНОЙ
110003;ПРОЧАЯ ПРОДУКЦИЯ ЛЕСНОЙ ПРОМЫШЛЕННОСТИ. САЖЕНЦЫ
111006;ПРОЧАЯ ПРОДУКЦИЯ ЛЕСНОЙ ПРОМЫШЛЕННОСТИ
111010;БЕРЕСТА
111025;БРИКЕТЫ ИЗ ОТХОДОВ ДРЕВЕСИНЫ
111030;КОРА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
111044;КОРА ЛИПОВАЯ
111059;КОРЬЕ ДУБИЛЬНОЕ И КРАСИЛЬНОЕ
111063;ЛИСТЬЯ ВСЕХ ПОРОД ДЕРЕВА
111078;ЛОЗА, РАКИТНИК (ПРУТЬЯ ИВОВЫЕ)
111082;ЛЫКО
111097;МЕТЛЫ, КРОМЕ ТРАВЯНЫХ И СОЛОМЕННЫХ
111107;МУКА ВИТАМИННАЯ ИЗ ДРЕВЕСНОЙ ЗЕЛЕНИ
111114;НАПЛЫВЫ, НАРОСТЫ ВСЯКИХ ПОРОД ДЕРЕВА, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ
111129;ОТХОДЫ ДРЕВЕСНЫЕ
111133;ПРОДУКЦИЯ ЛЕСНОЙ ПРОМЫШЛЕННОСТИ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ
111148;ТРУТ ДРЕВЕСНЫЙ
111152;ФАШИНЫ
111167;ШИШКИ ХВОЙНЫЕ
