Код ЕСР;shortname;fullname;region_shortname;region_fullname;Тип региона;КОД дороги
14959;ОП 1189 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1189 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15006;КАНДАЛАКША-П;КАНДАЛАКША-ПЕРЕВАЛКА ;Мурманская;Мурманская Область;Область;ОКТ
15102;ПИНОЗЕРО;ПИНОЗЕРО ;Мурманская;Мурманская Область;Область;ОКТ
15114;ЧЕРВАС;ЧЕРВАС ;Мурманская;Мурманская Область;Область;ОКТ
15129;ПАСМА;ПАСМА ;Мурманская;Мурманская Область;Область;ОКТ
15133;УПОЛОКША;УПОЛОКША ;Мурманская;Мурманская Область;Область;ОКТ
15148;ПЛ 54 КМ;ПЛАТФОРМА 54 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15152;КОЛЮЖНЫЙ;КОЛЮЖНЫЙ ;Мурманская;Мурманская Область;Область;ОКТ
15167;ПЛ 70 КМ;ПЛАТФОРМА 70 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15203;ЕНА;ЕНА ;Мурманская;Мурманская Область;Область;ОКТ
15311;ПЛ 112 КМ;ПЛАТФОРМА 112 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15326;КУРОПТА;КУРОПТА ;Мурманская;Мурманская Область;Область;ОКТ
15400;КОВДОР;КОВДОР ;Мурманская;Мурманская Область;Область;ОКТ
15504;ПОЛЯРН.ЗОРИ;ПОЛЯРНЫЕ ЗОРИ ;Мурманская;Мурманская Область;Область;ОКТ
15519;ВОСТОЧН.ГУБА;ВОСТОЧНАЯ ГУБА ;Мурманская;Мурманская Область;Область;ОКТ
15608;АФРИКАНДА;АФРИКАНДА ;Мурманская;Мурманская Область;Область;ОКТ
15612;ХАБОЗЕРО;ХАБОЗЕРО ;Мурманская;Мурманская Область;Область;ОКТ
15627;ПИТКУЛЬ;ПИТКУЛЬ ;Мурманская;Мурманская Область;Область;ОКТ
15631;АПАТИТЫ 1;АПАТИТЫ 1 ;Мурманская;Мурманская Область;Область;ОКТ
15701;КАНДАЛАКША-Э;КАНДАЛАКША-ЭКСПОРТ ;Мурманская;Мурманская Область;Область;ОКТ
15716;ПЛ 3 КМ;ПЛАТФОРМА 3 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15735;ПЛ 7 КМ;ПЛАТФОРМА 7 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15740;ПЛ 12 КМ;ПЛАТФОРМА 12 КМ ;Мурманская;Мурманская Область;Область;ОКТ
15805;ТИТАН;ТИТАН ;Мурманская;Мурманская Область;Область;ОКТ
16009;АПАТИТЫ;АПАТИТЫ ;Мурманская;Мурманская Область;Область;ОКТ
16121;ХИБИНЫ;ХИБИНЫ ;Мурманская;Мурманская Область;Область;ОКТ
16136;НЕФЕЛИН.ПЕСК;НЕФЕЛИНОВЫЕ ПЕСКИ ;Мурманская;Мурманская Область;Область;ОКТ
16140;ИМАНДРА;ИМАНДРА ;Мурманская;Мурманская Область;Область;ОКТ
16225;РУДНЫЙ;РУДНЫЙ ;Мурманская;Мурманская Область;Область;ОКТ
16231;КУНА;КУНА ;Мурманская;Мурманская Область;Область;ОКТ
16244;ЯГЕЛЬНЫЙ БОР;ЯГЕЛЬНЫЙ БОР ;Мурманская;Мурманская Область;Область;ОКТ
16308;ОЛЕНЕГОРСК;ОЛЕНЕГОРСК ;Мурманская;Мурманская Область;Область;ОКТ
16314;ОП 6 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 6 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16329;ОП 12 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 12 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16333;ОП 16 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 16 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16348;ОП 25 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 25 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16352;ОП 27 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 27 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16403;МОНЧЕГОРСК;МОНЧЕГОРСК ;Мурманская;Мурманская Область;Область;ОКТ
16615;ЛАПЛАНДИЯ;ЛАПЛАНДИЯ ;Мурманская;Мурманская Область;Область;ОКТ
16627;ПУЛОЗЕРО;ПУЛОЗЕРО ;Мурманская;Мурманская Область;Область;ОКТ
16719;ТАЙБОЛА;ТАЙБОЛА ;Мурманская;Мурманская Область;Область;ОКТ
16742;КИЦА;КИЦА ;Мурманская;Мурманская Область;Область;ОКТ
16757;ЛОПАРСКАЯ;ЛОПАРСКАЯ ;Мурманская;Мурманская Область;Область;ОКТ
16812;ОП 1410 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1410 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16827;ОП 1417 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1417 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16831;МАГНЕТИТЫ;МАГНЕТИТЫ ;Мурманская;Мурманская Область;Область;ОКТ
16916;ОП 1425 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1425 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16920;ВЫХОДНОЙ;ВЫХОДНОЙ ;Мурманская;Мурманская Область;Область;ОКТ
16935;ОП 1434 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1434 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16946;ОП 1437 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1437 КМ ;Мурманская;Мурманская Область;Область;ОКТ
16954;ШОНГУЙ;ШОНГУЙ ;Мурманская;Мурманская Область;Область;ОКТ
17001;КОЛА;КОЛА ;Мурманская;Мурманская Область;Область;ОКТ
17016;ПОСТ 9 КМ;ПОСТ 9 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17035;ОП 1439 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1439 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17041;ОП 1441 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1441 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17054;ОП 1443 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1443 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17073;ОП 1446 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1446 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17088;ОП 1448 КМ;ОСТАНОВОЧНЫЙ ПУНКТ 1448 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17105;МУРМАШИ;МУРМАШИ ;Мурманская;Мурманская Область;Область;ОКТ
17118;ПОСТ-ТУЛОМА;ПОСТ-ТУЛОМА ;Мурманская;Мурманская Область;Область;ОКТ
17139;ПЛ 54 КМ;ПЛАТФОРМА 54 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17143;ПЛ 61 КМ;ПЛАТФОРМА 61 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17158;ПЛ 23 КМ;ПЛАТФОРМА 23 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17209;КОЛА-ЭКСПОРТ;КОЛА-ЭКСПОРТ ;Мурманская;Мурманская Область;Область;ОКТ
17302;ПЯЙВЕ;ПЯЙВЕ ;Мурманская;Мурманская Область;Область;ОКТ
17410;ПЛ 75 КМ;ПЛАТФОРМА 75 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17425;ПЛ 85 КМ;ПЛАТФОРМА 85 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17437;ПЛ 90 КМ;ПЛАТФОРМА 90 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17444;МОККЕТ;МОККЕТ ;Мурманская;Мурманская Область;Область;ОКТ
17459;ТИТОВКА;ТИТОВКА ;Мурманская;Мурманская Область;Область;ОКТ
17463;ПЛ 101 КМ;ПЛАТФОРМА 101 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17478;ПЛ 109 КМ;ПЛАТФОРМА 109 КМ ;Мурманская;Мурманская Область;Область;ОКТ
17482;НЯЛ;НЯЛ ;Мурманская;Мурманская Область;Область;ОКТ
17904;ЛУОСТАРИ;ЛУОСТАРИ ;Мурманская;Мурманская Область;Область;ОКТ
17919;СЕМУЖНАЯ;СЕМУЖНАЯ ;Мурманская;Мурманская Область;Область;ОКТ
17923;ПЛ 5 КМ;ПЛАТФОРМА 5 КМ ;Мурманская;Мурманская Область;Область;ОКТ
18023;ПЕЧЕНГА;ПЕЧЕНГА ;Мурманская;Мурманская Область;Область;ОКТ
18108;ЗАПОЛЯРНАЯ;ЗАПОЛЯРНАЯ ;Мурманская;Мурманская Область;Область;ОКТ
18201;НИКЕЛЬ-МУРМ.;НИКЕЛЬ-МУРМАНСКИЙ ;Мурманская;Мурманская Область;Область;ОКТ
18305;МУРМАНСК-ПЕР;МУРМАНСК-ПЕРЕВАЛКА ;Мурманская;Мурманская Область;Область;ОКТ
18409;МУРМАНСК;МУРМАНСК ;Мурманская;Мурманская Область;Область;ОКТ
18413;ПЛ 2 КМ;ПЛАТФОРМА 2 КМ ;Мурманская;Мурманская Область;Область;ОКТ
