etsng_code;etsng_name;cargo_group_code;cargo_group_name
304038;ГАЛЬ АСБЕСТОВАЯ;10;Остальные грузы
304042;ГЛИМЕР (СЛЮДА);10;Остальные грузы
304057;КРОШКА СЛЮДЯНАЯ;10;Остальные грузы
304061;МЕЛОЧЬ СЛЮДЯНАЯ;10;Остальные грузы
304076;МИКАНИТ (СЛЮДА ПРЕССОВАННАЯ);10;Остальные грузы
304080;ОТХОДЫ АСБЕСТОВЫЕ (КРОШКА, ПЫЛЬ), НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
304095;СЕРПЕНТИНИТЫ (ОТХОДЫ АСБЕСТОВОЙ ПРОМЫШЛЕННОСТИ);10;Остальные грузы
304108;СЛЮДА, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;10;Остальные грузы
310005;МЕТАЛЛЫ ЧЕРНЫЕ;10;Остальные грузы
311008;ЧУГУН;3;Черные металлы
311012;ЧУГУН ЗЕРКАЛЬНЫЙ;3;Черные металлы
311027;ЧУГУН ЛИТЕЙНЫЙ ФОСФОРИСТЫЙ;3;Черные металлы
311031;ЧУГУН ЛИТЕЙНЫЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
311046;ЧУГУН ПЕРЕДЕЛЬНЫЙ ВЫСОКОКАЧЕСТВЕННЫЙ;3;Черные металлы
311050;ЧУГУН ЛИТЕЙНЫЙ ВЫСОКОМАРГАНЦЕВИСТЫЙ;3;Черные металлы
311065;ЧУГУН ПЕРЕДЕЛЬНЫЙ РЯДОВОЙ;3;Черные металлы
311071;ЧУГУН ПЕРЕДЕЛЬНЫЙ ФОСФОРИСТЫЙ;3;Черные металлы
311084;ЧУГУН, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;3;Черные металлы
312000;СТАЛЬ В СЛИТКАХ;3;Черные металлы
312015;БОЛВАНКИ СТАЛЬНЫЕ ЛИТЫЕ;3;Черные металлы
312024;СЛИТКИ СТАЛЬНЫЕ БЛЮМИНГОВЫЕ;3;Черные металлы
312034;СЛИТКИ СТАЛЬНЫЕ ВЕСОМ ДО 3 Т;3;Черные металлы
312049;СЛИТКИ СТАЛЬНЫЕ ШИХТОВЫЕ;3;Черные металлы
312053;СЛИТКИ СТАЛЬНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;3;Черные металлы
313003;ФЕРРОСПЛАВЫ;3;Черные металлы
313018;БИМЕТАЛЛЫ С ОСНОВОЙ ИЗ ЧЕРНЫХ МЕТАЛЛОВ;10;Остальные грузы
313022;КРЕМНИЙ КРИСТАЛЛИЧЕСКИЙ (ФЕРРОСПЛАВ);3;Черные металлы
313037;МАРГАНЕЦ МЕТАЛЛИЧЕСКИЙ;10;Остальные грузы
313041;СИЛИКОКАЛЬЦИЙ;10;Остальные грузы
313056;СИЛИКОМАРГАНЕЦ;10;Остальные грузы
313060;СИЛИКОХРОМ;10;Остальные грузы
313075;ФЕРРОСИЛИЦИЙ С МАССОВОЙ ДОЛЕЙ КРЕМНИЯ ОТ 30 ДО 90%;10;Остальные грузы
313087;ФЕРРОСПЛАВЫ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;3;Черные металлы
313094;ХРОМ МЕТАЛЛИЧЕСКИЙ;10;Остальные грузы
314006;ЗАГОТОВКИ СТАЛЬНЫЕ;3;Черные металлы
314010;БЛЮМСЫ;10;Остальные грузы
314025;ЗАГОТОВКА ДЛЯ ПЕРЕКАТА КАЧЕСТВЕННАЯ;10;Остальные грузы
314030;ЗАГОТОВКА ДЛЯ ПЕРЕКАТА РЯДОВАЯ;10;Остальные грузы
314044;ЗАГОТОВКА ОСЕВАЯ И КУЗНЕЧНАЯ;10;Остальные грузы
314059;ЗАГОТОВКА СТАЛЬНАЯ, НЕ ПОИМЕНОВАННАЯ В АЛФАВИТЕ;3;Черные металлы
314063;ЗАГОТОВКА ТРУБНАЯ;10;Остальные грузы
314078;СЛЯБЫ (ЗАГОТОВКИ СТАЛЬНЫЕ);3;Черные металлы
314082;СУТУНКА;10;Остальные грузы
315009;ПРОЧИЕ ЧЕРНЫЕ МЕТАЛЛЫ;10;Остальные грузы
315013;МЕТАЛЛЫ ЧЕРНЫЕ, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;10;Остальные грузы
315028;ПОРОШОК ЖЕЛЕЗНЫЙ;10;Остальные грузы
315032;"СТАЛЬ ""СЕРЕБРЯНКА""";3;Черные металлы
316001;ЛОМ ЧЕРНЫХ МЕТАЛЛОВ;10;Остальные грузы
316016;БРИКЕТЫ ИЗ СТАЛЬНОЙ СТРУЖКИ;3;Черные металлы
316020;БРИКЕТЫ ИЗ ЧУГУННОЙ СТРУЖКИ;3;Черные металлы
