index;key;origin;dest;cargo_name;message_type;in_rzd;rzd_routes_count
269;80120_43840;80120;43840;РЕЛЬСЫ НОВ Р-65;Внутр. перевозки (Юг);True;2
271;81760_63730;81760;63730;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;34
272;78130_93710;78130;93710;ТРУБЫ МЕТ ПР;Экспорт (Восток);True;3
273;93290_3560;93290;3560;КРЕМНИЙ КРИСТАЛ;Экспорт (Северо-Запад);True;4
275;30250_20540;30250;20540;ШАРЫ СТ ПОМОЛ;Внутр. перевозки (Северо-Запад);True;37
276;78030_52100;78030;52100;СТАЛЬ ЛИСТ ТРАН;Экспорт (Юг);True;36
277;92450_98020;92450;98020;ФЕРРОСИЛ 30-90;Экспорт (Восток);True;16
278;81760_85120;81760;85120;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;43
279;59220_78000;59220;78000;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;32
280;43860_52100;43860;52100;ЗАГОТ Д/ПЕР РЯД;Экспорт (Юг);True;19
281;81420_52090;81420;52090;ЧУГУН ПЕР РЯД;Внутр. перевозки (Юг);True;2
282;30250_64840;30250;64840;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Юг);True;69
283;24360_81650;24360;81650;ТРУБЫ СТ БОЛЬШ;Экспорт (Юг);True;11
284;79510_20120;79510;20120;ТРУБЫ МЕТ ПР;Экспорт (Северо-Запад);True;2
285;21190_98020;21190;98020;ЧУГУН ПЕР РЯД;Экспорт (Восток);True;2
286;81420_81650;81420;81650;СТАЛЬ ЛИСТ ПР;Экспорт (Юг);True;96
287;81420_52100;81420;52100;ЧУГУН ПЕР РЯД;Экспорт (Юг);True;14
288;24360_29170;24360;29170;ТРУБЫ СТ НЕМЕТ;Внутр. перевозки (Северо-Запад);True;9
289;59220_93260;59220;93260;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Восток);True;2
290;21190_52100;21190;52100;ЧУГУН ПЕР РЯД;Экспорт (Юг);True;9
291;59220_23860;59220;23860;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;6
292;59220_23060;59220;23060;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;15
293;59220_3590;59220;3590;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;19
294;81760_23860;81760;23860;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;21
295;81760_23540;81760;23540;СТАЛЬ ЛИСТ КРОВ;Внутр. перевозки (Северо-Запад);True;30
296;80060_1840;80060;1840;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Северо-Запад);True;3
297;61010_1840;61010;1840;ТРУБЫ БЕСШОВ;Внутр. перевозки (Северо-Запад);True;3
298;30250_17200;30250;17200;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;12
299;59220_31620;59220;31620;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;2
300;23670_91140;23670;91140;ТРУБЫ СТ БОЛЬШ;Внутр. перевозки (Восток);True;2
301;81760_54490;81760;54490;СТАЛЬ ЛИСТ ПР;Экспорт (Юг);True;108
302;30250_17140;30250;17140;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;126
303;3160_23670;3160;23670;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;4
304;30250_22970;30250;22970;СТАЛЬ ЛИСТ ПР;Внутр. перевозки (Северо-Запад);True;11
305;81760_17140;81760;17140;СТАЛЬ ЛИСТ ПР;Экспорт (Северо-Запад);True;30
306;43860_20540;43860;20540;ШАРЫ СТ ПОМОЛ;Внутр. перевозки (Северо-Запад);True;7
